Timestamp,User,Symbol,OrderID,ClOrdID,OrigClOrdID,SubmitTime,ExecID,Side,TransactTime,OrdStatus,OrderQty,OrdType,Price,Symbol,LeavesQty,CumQty,AvgPx,TimeInForce,LastFeeCurrency,CumAmt,CumFee,FeeCurrency,OrdRejReason,CxlRejReason,DecisionStatus,QuoteID,AmountCurrency,SessionID,CancelSessionID,ExpectedFillPrice,ExpectedFillQty,SubAccount,Strategy,AvgPxAllIn,RFQID,ParentRFQID,ParentOrderID,StartTime,EndTime,AllowedSlippage,CumTalosFee,TalosFeeCurrency,AggressorSide,Revision,LastRequestTimestamp,Text,Group,Parameters,Allocation,Comments,Markets
2022-06-10T12:54:17.113284Z,Contingent-Yuan-API,ftx:ETH-PERP,7c869ed7-62c1-4532-96f2-8adbdc688f5c,b03cca47-939a-45f4-a71f-dd585a489024,,2022-06-10T11:37:28.954839Z,800768e8-1a4b-40aa-99fe-7e7d9fcdaa8e,Buy,2022-06-10T12:54:17.037000Z,DoneForDay,318.16367,Limit,1722.8143,ETH,0,318.163,1722.638718,GoodTillCancel,,548079.9023,32.55072482,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1722.741026,,,,,,0,0,,,58,2022-06-10T11:37:28.954839Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T13:34:29.445833Z,Contingent-Yuan-API,ftx:ETH-PERP,1882b8d1-6ca2-4461-b82e-01c23cb0bc16,90f2bddd-401e-4413-8566-cf8197f5e44c,,2022-06-10T11:37:28.452945Z,ed8056db-022f-416c-b308-d2b9a2bedc5f,Buy,2022-06-10T13:34:29.388000Z,DoneForDay,324.51674,Limit,1706.8787,ETH,0,324.516,1706.705069,GoodTillCancel,,553853.1021,20.5546896,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1706.768408,,,,,,0,0,,,44,2022-06-10T11:37:28.452945Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T16:28:18.848306Z,Contingent-Yuan-API,ftx:ETH-PERP,aea3c964-3271-4861-80d0-2a11e29734a1,68ff3981-6d54-45bc-b935-4cf62514191c,,2022-06-10T11:37:27.963606Z,96026fa6-9be1-4a57-9e4c-a077ba3ef808,Buy,2022-06-10T16:28:18.781000Z,DoneForDay,331.393325,Limit,1690.9432,ETH,0,331.393,1690.560199,GoodTillCancel,,560239.8159,-7.212499211,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1690.538434,,,,,,0,0,,,76,2022-06-10T11:37:27.963606Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T16:28:32.800266Z,Contingent-Yuan-API,ftx:ETH-PERP,3e58fa18-2c30-4282-a99e-21094acbe1bb,6d642506-695b-449c-ad2a-1eb8b7a19ee5,,2022-06-10T11:37:27.471633Z,0de6ed5d-757d-4eeb-80cc-027b4d60164e,Buy,2022-06-10T16:28:32.701000Z,DoneForDay,338.721685,Limit,1675.0076,ETH,0,338.721,1674.916897,GoodTillCancel,,567329.5264,-40.83186154,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1674.79635,,,,,,0,0,,,31,2022-06-10T11:37:27.471633Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T16:29:11.570713Z,Contingent-Yuan-API,ftx:ETH-PERP,6694eabe-2eca-4672-be3c-75b6b13c8c4a,5284f095-9970-425d-958f-5311c3b348b9,,2022-06-10T11:37:26.981728Z,8393a014-ba60-4503-b27f-a11049c2a087,Buy,2022-06-10T16:29:11.529000Z,DoneForDay,346.42396,Limit,1659.072,ETH,0,346.423,1658.968158,GoodTillCancel,,574704.7262,-29.65306116,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1658.88256,,,,,,0,0,,,57,2022-06-10T11:37:26.981728Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T09:10:29.458959Z,Contingent-API,ftx:ETH-PERP,7058e8bc-c2e0-421e-9376-c3543fabba9d,ef3a7596-5307-468a-9de1-fd24f41909b4,,2022-06-10T03:01:45.354024Z,56741898-0855-4fd1-a43d-cc299f2ab3ed,Buy,2022-06-10T09:10:29.426000Z,DoneForDay,153.21012,Limit,1777.8862,ETH,0,153.21,1777.745357,GoodTillCancel,,272368.3662,15.09452404,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1777.843879,,,,,,0,0,,,27,2022-06-10T03:01:45.354024Z,,contingent/5e9c60d9-6c2f-4210-af9f-2e5def361ccd/f2d533b8-7d1f-459c-b3e4-b37230e729cf,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T00:18:59.967428Z,Contingent-API,ftx:ETH-PERP,0e90140b-9124-4f06-ad1f-c8e0499ae695,9fe9ea9c-6251-42bb-ae26-686a3baef67c,,2022-06-10T00:16:48.479343Z,99496e69-eb69-4638-82ee-f04fb76df7dd,Sell,2022-06-10T00:18:59.949000Z,DoneForDay,148.832195,Limit,1760.450122,ETH,0,148.832,1760.535793,GoodTillCancel,,262024.0631,-4.18709594,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1760.563926,,,,,,0,0,,,29,2022-06-10T00:16:48.479343Z,,contingent/0fae273a-a928-47c0-9393-2db92e57b993/0fae273a-a928-47c0-9393-2db92e57b993,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T00:39:55.085834Z,Contingent-API,ftx:ETH-PERP,5e73fa07-6f1e-4776-9ef1-449411bc48ef,a2228de3-231b-40b4-a033-cda27242d5ae,,2022-06-10T00:16:10.889421Z,fd8736aa-ca75-4ea0-9930-7f4a9ac51509,Sell,2022-06-10T00:39:55.067000Z,DoneForDay,150.30907,Limit,1776.664688,ETH,0,150.309,1776.744562,GoodTillCancel,,267060.6984,-13.00538094,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1776.831087,,,,,,0,0,,,12,2022-06-10T00:16:10.889421Z,,contingent/dc5f6834-59be-4f6b-9a5b-c99b8d417dc2/dc5f6834-59be-4f6b-9a5b-c99b8d417dc2,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T03:01:31.975369Z,Contingent-API,ftx:ETH-PERP,f2d533b8-7d1f-459c-b3e4-b37230e729cf,e7232434-f0b6-44dc-a19c-4575bcee3699,,2022-06-10T00:14:18.088663Z,5b5cba6e-b977-4720-b72e-cf6423e2b3b6,Sell,2022-06-10T03:01:31.898000Z,DoneForDay,153.21012,Limit,1793.651221,ETH,0,153.21,1793.916494,GoodTillCancel,,274845.9461,20.62038202,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1793.781905,,,,,,0,0,,,27,2022-06-10T00:14:18.088663Z,,contingent/5e9c60d9-6c2f-4210-af9f-2e5def361ccd/5e9c60d9-6c2f-4210-af9f-2e5def361ccd,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-09T18:24:25.951254Z,Contingent-API,ftx:ETH-PERP,e8b52671-fa25-46e5-853a-0f1b1449bb2d,81edd562-d992-4f29-a2b3-b625d10e2009,,2022-06-09T17:00:10.410282Z,76d1605d-13f8-4cf9-9a46-3cbf5c1461e5,Buy,2022-06-09T18:24:25.919000Z,DoneForDay,157.04872,Limit,1794.1805,ETH,0,157.048,1794.061079,GoodTillCancel,,281753.7043,3.877765856,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1794.08577,,,,,,0,0,,,39,2022-06-09T17:00:10.410282Z,,contingent/23f994a1-80c6-4a06-bdd9-b0b2a9273aa3/b2b98298-3853-4c16-9d1a-6af3e16d1a9d,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-09T16:59:55.270079Z,Contingent-API,ftx:ETH-PERP,b2b98298-3853-4c16-9d1a-6af3e16d1a9d,f730bef4-b8d4-49ba-9481-988b6db777dd,,2022-06-09T12:23:21.048868Z,4297b4e3-4f46-41f7-91b2-96b378a9a691,Sell,2022-06-09T16:59:55.206000Z,DoneForDay,157.04872,Limit,1810.2469,ETH,0,157.048,1810.325464,GoodTillCancel,,284307.9934,-19.8345495,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1810.45176,,,,,,0,0,,,18,2022-06-09T12:23:21.048868Z,,contingent/23f994a1-80c6-4a06-bdd9-b0b2a9273aa3/23f994a1-80c6-4a06-bdd9-b0b2a9273aa3,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-09T12:22:34.631222Z,Contingent-Yuan-API,ftx:ETH-PERP,23f994a1-80c6-4a06-bdd9-b0b2a9273aa3,929e3bcc-95c9-4e85-80b4-7bd807a208e1,,2022-06-09T11:59:31.518590Z,402a2a33-5cff-4495-8954-7afa55220f82,Buy,2022-06-09T12:22:34.602000Z,DoneForDay,157.04872,Limit,1794.1805,ETH,0,157.048,1794.1,GoodTillCancel,,281759.8168,10.29899517,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1794.165579,,,,,,0,0,,,29,2022-06-09T11:59:31.518590Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T00:13:45.115028Z,Contingent-Yuan-API,ftx:ETH-PERP,5e9c60d9-6c2f-4210-af9f-2e5def361ccd,6854298d-07c6-4eb9-abb3-279a2b4ee154,,2022-06-09T11:59:30.921307Z,ac321096-c0d4-47de-99a5-e0cf18ca0090,Buy,2022-06-10T00:13:45.044000Z,DoneForDay,153.21012,Limit,1777.8862,ETH,0,153.21,1777.65235,GoodTillCancel,,272354.1165,-17.88123447,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1777.535639,,,,,,0,0,,,16,2022-06-09T11:59:30.921307Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T00:15:33.974250Z,Contingent-Yuan-API,ftx:ETH-PERP,dc5f6834-59be-4f6b-9a5b-c99b8d417dc2,50fbb115-bf1d-4cb5-a546-52ab6542e7c7,,2022-06-09T11:59:30.303318Z,d8914cf7-3bf1-441b-947b-23fa587b4a4b,Buy,2022-06-10T00:15:33.862000Z,DoneForDay,150.30907,Limit,1761.5919,ETH,0,150.309,1760.817332,GoodTillCancel,,264666.6924,8.31585158,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1760.872657,,,,,,0,0,,,42,2022-06-09T11:59:30.303318Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T00:16:36.987364Z,Contingent-Yuan-API,ftx:ETH-PERP,0fae273a-a928-47c0-9393-2db92e57b993,15507cbc-b3c1-4979-8165-5360ee3c0cfc,,2022-06-09T11:59:29.686127Z,3081022a-8c1f-4eec-befa-f2b839284d61,Buy,2022-06-10T00:16:36.917000Z,DoneForDay,148.832195,Limit,1745.2976,ETH,0,148.832,1744.747395,GoodTillCancel,,259674.2443,18.90180784,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1744.874396,,,,,,0,0,,,38,2022-06-09T11:59:29.686127Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-08T14:30:19.086579Z,Contingent-API,ftx:BTC-PERP,74089028-b2af-4649-bb07-4a2aa33f1c69,c9607bf5-ab21-45f7-a3d9-a4e25500aa0a,,2022-06-08T13:50:15.821075Z,1c395798-d609-419e-ba07-7ff9ff4181f1,Buy,2022-06-08T14:30:19.069000Z,DoneForDay,29.68013,Limit,30454.31945,BTC,0,29.6801,30452.62288,GoodTillCancel,,903836.8922,4.36173397,USD,,,Active,,USD,,,0,0,gamma,Iceberg,30452.76983,,,,,,0,0,,,27,2022-06-08T13:50:15.821075Z,,contingent/1a73f116-a513-477e-a095-b911eb4a8485/1a73f116-a513-477e-a095-b911eb4a8485,"{""ErrorAction"":""Pause""}",,,ftx
